6.0.10	2019-09-19T05:41:15.811000+00:00
4.2.11	2019-09-24T19:15:33.611000+00:00
7.0.0-beta.5	2019-09-24T19:50:11.683000+00:00
5.0.11	2019-09-24T23:35:34.796000+00:00
6.0.11	2019-10-02T00:05:04.173000+00:00
6.0.12	2019-10-08T23:08:06.073000+00:00
7.0.0-beta.6	2019-10-09T01:12:42.307000+00:00
7.0.0-beta.7	2019-10-16T13:55:23.668000+00:00
4.2.12	2019-10-16T20:26:25.642000+00:00
7.0.0	2019-10-21T22:24:41.636000+00:00
6.1.0	2019-10-22T02:02:59.033000+00:00
6.1.1	2019-10-23T20:49:11.420000+00:00
8.0.0-beta.1	2019-10-24T20:38:27.315000+00:00
6.1.2	2019-10-24T22:06:59.553000+00:00
8.0.0-beta.2	2019-11-01T00:51:04.409000+00:00
6.1.3	2019-11-01T19:14:22.102000+00:00
7.0.1	2019-11-01T19:20:30.886000+00:00
5.0.12	2019-11-02T07:17:51.238000+00:00
6.1.4	2019-11-05T07:44:52.467000+00:00
7.1.0	2019-11-05T11:06:11.386000+00:00
7.1.1	2019-11-07T23:55:12.629000+00:00
7.1.2	2019-11-20T02:44:34.768000+00:00
8.0.0-beta.3	2019-11-20T22:56:05.812000+00:00
6.1.5	2019-11-21T03:51:45.920000+00:00
7.1.3	2019-12-03T02:02:12.868000+00:00
8.0.0-beta.4	2019-12-04T02:51:03.661000+00:00
7.1.4	2019-12-10T01:39:00.023000+00:00
6.1.6	2019-12-11T19:23:06.516000+00:00
7.1.5	2019-12-13T22:13:09.577000+00:00
6.1.7	2019-12-17T03:10:23.751000+00:00
5.0.13	2019-12-17T22:33:53.381000+00:00
7.1.6	2019-12-18T02:17:31.754000+00:00
8.0.0-beta.5	2019-12-18T22:15:11.788000+00:00
7.1.7	2019-12-19T21:16:11.936000+00:00
7.1.8	2020-01-08T22:06:08.896000+00:00
7.1.9	2020-01-13T19:34:17.089000+00:00
8.0.0-beta.6	2020-01-14T15:34:52.369000+00:00
8.0.0-beta.7	2020-01-16T20:39:15.857000+00:00
7.1.10	2020-01-22T21:49:33.687000+00:00
8.0.0-beta.8	2020-01-29T21:53:05.387000+00:00
8.0.0-beta.9	2020-01-30T04:55:50.436000+00:00
7.1.11	2020-01-30T08:44:22.321000+00:00
8.0.0	2020-02-03T23:52:54.257000+00:00
9.0.0-beta.1	2020-02-10T19:04:37.594000+00:00
7.1.12	2020-02-10T21:32:00.236000+00:00
8.0.1	2020-02-14T18:39:41.462000+00:00
9.0.0-beta.2	2020-02-16T03:14:14.991000+00:00
7.1.13	2020-02-20T20:00:08.235000+00:00
6.1.8	2020-02-21T15:52:59.625000+00:00
9.0.0-beta.3	2020-02-26T01:11:31.434000+00:00
8.0.2	2020-02-26T04:20:10.980000+00:00
6.1.9	2020-02-28T04:29:55.709000+00:00
9.0.0-beta.4	2020-02-28T04:30:28.862000+00:00
7.1.14	2020-02-28T23:50:55.788000+00:00
9.0.0-beta.5	2020-03-02T18:07:20.897000+00:00
8.0.3	2020-03-03T02:18:00.113000+00:00
8.1.0	2020-03-06T12:18:30.240000+00:00
9.0.0-beta.6	2020-03-06T14:22:25.098000+00:00
9.0.0-beta.7	2020-03-09T18:38:30.634000+00:00
8.1.1	2020-03-10T02:01:39.309000+00:00
9.0.0-beta.9	2020-03-16T19:31:26.524000+00:00
9.0.0-beta.10	2020-03-23T15:50:53.797000+00:00
7.2.0	2020-03-23T23:58:21.064000+00:00
7.2.1	2020-03-24T08:48:24.286000+00:00
8.2.0	2020-03-24T18:34:17.500000+00:00
9.0.0-beta.12	2020-03-30T18:18:08.787000+00:00
9.0.0-beta.13	2020-04-02T19:38:55.571000+00:00
9.0.0-beta.14	2020-04-06T18:23:57.703000+00:00
8.2.1	2020-04-06T23:49:26.282000+00:00
9.0.0-beta.15	2020-04-09T21:15:48.055000+00:00
9.0.0-beta.16	2020-04-13T18:23:25.437000+00:00
8.2.2	2020-04-13T21:10:12.808000+00:00
6.1.10	2020-04-14T16:15:00.003000+00:00
7.2.2	2020-04-14T19:11:49.094000+00:00
8.2.3	2020-04-17T00:00:52.439000+00:00
7.2.3	2020-04-17T00:13:02.023000+00:00
9.0.0-beta.17	2020-04-17T00:14:19.357000+00:00
9.0.0-beta.18	2020-04-20T18:58:03.023000+00:00
9.0.0-beta.19	2020-04-24T20:28:19.658000+00:00
9.0.0-beta.20	2020-04-27T18:49:19.191000+00:00
9.0.0-beta.21	2020-04-28T08:03:03.302000+00:00
8.2.4	2020-04-28T08:04:26.969000+00:00
7.2.4	2020-04-29T20:38:08.932000+00:00
9.0.0-beta.22	2020-04-30T20:21:55.128000+00:00
8.2.5	2020-04-30T21:17:59.389000+00:00
6.1.11	2020-05-05T19:38:19.074000+00:00
9.0.0-beta.24	2020-05-11T19:11:32.626000+00:00
7.3.0	2020-05-15T02:19:48.363000+00:00
8.3.0	2020-05-15T03:31:30.077000+00:00
6.1.12	2020-05-18T19:53:31.498000+00:00
9.0.0	2020-05-19T00:34:56.092000+00:00
10.0.0-beta.1	2020-05-22T01:46:58.548000+00:00
10.0.0-beta.2	2020-06-01T19:27:23.569000+00:00
8.3.1	2020-06-01T19:37:00.620000+00:00
9.0.1	2020-06-01T19:38:08.503000+00:00
7.3.1	2020-06-01T20:58:36.730000+00:00
9.0.2	2020-06-02T21:39:58.415000+00:00
9.0.3	2020-06-08T16:20:35.617000+00:00
9.0.4	2020-06-12T22:38:53.598000+00:00
8.3.2	2020-06-15T19:38:34.741000+00:00
10.0.0-beta.3	2020-06-15T20:13:54.325000+00:00
10.0.0-beta.4	2020-06-18T20:31:31.451000+00:00
8.3.3	2020-06-18T20:31:47.592000+00:00
9.0.5	2020-06-22T21:44:49.967000+00:00
7.3.2	2020-06-24T22:44:55.436000+00:00
8.3.4	2020-06-25T01:08:23.705000+00:00
10.0.0-beta.8	2020-07-03T01:48:56.631000+00:00
10.0.0-beta.9	2020-07-06T19:08:27.777000+00:00
9.1.0	2020-07-06T23:31:19.998000+00:00
8.4.0	2020-07-07T19:13:58.779000+00:00
10.0.0-beta.10	2020-07-09T20:26:55.301000+00:00
10.0.0-beta.11	2020-07-13T20:17:29.931000+00:00
10.0.0-beta.12	2020-07-16T20:10:02.435000+00:00
9.1.1	2020-07-20T22:53:28.950000+00:00
8.4.1	2020-07-23T18:48:04.874000+00:00
10.0.0-beta.14	2020-07-27T19:58:16.856000+00:00
9.1.2	2020-07-29T02:05:32.878000+00:00
10.0.0-beta.15	2020-07-29T21:32:19.497000+00:00
10.0.0-beta.17	2020-08-03T18:45:39.388000+00:00
10.0.0-beta.19	2020-08-06T19:05:35.138000+00:00
8.5.0	2020-08-07T18:09:37.656000+00:00
9.2.0	2020-08-07T18:17:52.719000+00:00
10.0.0-beta.20	2020-08-10T21:16:59.380000+00:00
10.0.0-beta.21	2020-08-11T03:26:53.225000+00:00
10.0.0-beta.23	2020-08-17T20:07:28.142000+00:00
9.2.1	2020-08-18T21:23:34.626000+00:00
10.0.0-beta.25	2020-08-22T08:13:49.313000+00:00
10.0.0	2020-08-24T21:01:37.620000+00:00
7.3.3	2020-08-25T16:21:01.138000+00:00
11.0.0-beta.1	2020-08-26T22:43:51.028000+00:00
10.0.1	2020-08-27T17:58:53.228000+00:00
10.1.0	2020-08-28T01:16:48.301000+00:00
11.0.0-beta.3	2020-08-31T19:38:12.869000+00:00
10.1.1	2020-09-01T06:57:03.365000+00:00
8.5.1	2020-09-03T01:08:25.247000+00:00
9.3.0	2020-09-03T05:09:51.444000+00:00
11.0.0-beta.4	2020-09-03T20:02:36.327000+00:00
11.0.0-beta.6	2020-09-10T19:56:31.427000+00:00
11.0.0-beta.7	2020-09-14T19:40:41.292000+00:00
10.1.2	2020-09-14T23:53:12.014000+00:00
9.3.1	2020-09-15T00:45:13.779000+00:00
8.5.2	2020-09-22T20:40:05.130000+00:00
11.0.0-beta.8	2020-09-25T00:07:31.897000+00:00
11.0.0-beta.9	2020-09-28T20:12:46.972000+00:00
10.1.3	2020-09-29T04:48:22.093000+00:00
9.3.2	2020-10-05T19:56:19.409000+00:00
11.0.0-beta.11	2020-10-05T20:01:11.604000+00:00
11.0.0-beta.12	2020-10-14T00:55:25.779000+00:00
11.0.0-beta.13	2020-10-15T19:38:26.872000+00:00
10.1.4	2020-10-20T01:50:41.227000+00:00
10.1.5	2020-10-23T21:37:31.027000+00:00
11.0.0-beta.16	2020-10-24T01:01:56.704000+00:00
11.0.0-beta.17	2020-10-26T18:44:03.045000+00:00
9.3.3	2020-10-26T22:00:53.852000+00:00
11.0.0-beta.18	2020-10-29T18:36:08.341000+00:00
8.5.3	2020-10-30T02:38:46.841000+00:00
11.0.0-beta.19	2020-11-02T22:17:25.479000+00:00
11.0.0-beta.20	2020-11-06T20:07:05.717000+00:00
9.3.4	2020-11-10T00:14:33.848000+00:00
11.0.0-beta.22	2020-11-12T18:34:58.361000+00:00
11.0.0-beta.23	2020-11-14T03:34:01.071000+00:00
11.0.0	2020-11-16T22:39:29.389000+00:00
8.5.4	2020-11-17T14:12:24.687000+00:00
11.0.1	2020-11-17T14:12:35.948000+00:00
10.1.6	2020-11-18T17:42:36.002000+00:00
8.5.5	2020-11-18T23:40:55.244000+00:00
12.0.0-beta.1	2020-11-19T03:18:28+00:00
11.0.2	2020-11-19T21:55:03.418000+00:00
12.0.0-beta.3	2020-11-23T18:03:30.205000+00:00
9.3.5	2020-11-24T00:54:05.415000+00:00
11.0.3	2020-11-24T05:57:27.114000+00:00
12.0.0-beta.4	2020-11-26T18:08:30.248000+00:00
12.0.0-beta.5	2020-11-30T17:35:08.815000+00:00
12.0.0-beta.6	2020-12-03T17:08:54.188000+00:00
12.0.0-beta.7	2020-12-07T17:02:29.880000+00:00
11.0.4	2020-12-07T22:08:36.550000+00:00
10.1.7	2020-12-08T02:59:07.028000+00:00
12.0.0-beta.8	2020-12-10T17:07:34.447000+00:00
11.0.5	2020-12-11T18:58:45.963000+00:00
12.0.0-beta.9	2020-12-11T23:41:55.783000+00:00
10.2.0	2020-12-12T00:53:21.052000+00:00
11.1.0	2020-12-12T01:33:54.538000+00:00
9.4.0	2020-12-12T01:45:49.882000+00:00
12.0.0-beta.10	2020-12-14T17:11:21.013000+00:00
12.0.0-beta.11	2020-12-17T17:02:35.639000+00:00
12.0.0-beta.12	2020-12-21T16:57:54.789000+00:00
11.1.1	2020-12-21T21:12:16.508000+00:00
12.0.0-beta.14	2021-01-11T17:30:19.888000+00:00
11.2.0	2021-01-13T00:39:16.868000+00:00
9.4.1	2021-01-13T20:43:57.091000+00:00
10.3.0	2021-01-15T18:50:38.167000+00:00
12.0.0-beta.16	2021-01-18T17:41:34.233000+00:00
11.2.1	2021-01-23T03:56:25.366000+00:00
12.0.0-beta.18	2021-01-25T16:54:53.118000+00:00
10.3.1	2021-01-27T22:55:58.516000+00:00
9.4.2	2021-01-27T23:23:52.535000+00:00
12.0.0-beta.19	2021-01-28T17:32:07.208000+00:00
12.0.0-beta.20	2021-02-01T17:07:59.818000+00:00
11.2.2	2021-02-02T21:13:24.611000+00:00
12.0.0-beta.21	2021-02-03T04:56:03.373000+00:00
12.0.0-beta.22	2021-02-04T17:07:02.429000+00:00
9.4.3	2021-02-05T22:22:14.871000+00:00
10.3.2	2021-02-05T22:56:32.646000+00:00
11.2.3	2021-02-06T02:19:22.786000+00:00
12.0.0-beta.23	2021-02-09T01:14:04.257000+00:00
12.0.0-beta.24	2021-02-09T18:37:25.134000+00:00
12.0.0-beta.25	2021-02-11T17:02:33.104000+00:00
12.0.0-beta.26	2021-02-16T11:07:07.193000+00:00
12.0.0-beta.27	2021-02-19T00:46:25.356000+00:00
11.3.0	2021-02-20T00:00:31.230000+00:00
10.4.0	2021-02-20T00:02:27.664000+00:00
12.0.0-beta.28	2021-02-22T17:03:57.263000+00:00
12.0.0-beta.29	2021-02-23T21:18:42.819000+00:00
12.0.0-beta.30	2021-02-25T17:26:54.277000+00:00
12.0.0-beta.31	2021-03-01T16:58:58.658000+00:00
12.0.0	2021-03-02T03:10:35.097000+00:00
9.4.4	2021-03-03T19:21:33.230000+00:00
13.0.0-beta.2	2021-03-05T16:33:00.111000+00:00
13.0.0-beta.3	2021-03-08T17:03:09.091000+00:00
12.0.1	2021-03-10T23:55:03.418000+00:00
13.0.0-beta.4	2021-03-11T20:47:29.344000+00:00
13.0.0-beta.5	2021-03-15T17:05:03.754000+00:00
10.4.1	2021-03-15T21:13:35.588000+00:00
13.0.0-beta.6	2021-03-18T17:06:28.775000+00:00
13.0.0-beta.7	2021-03-22T19:13:44.657000+00:00
11.4.0	2021-03-23T03:15:18.080000+00:00
11.4.1	2021-03-23T19:16:11.765000+00:00
10.4.2	2021-03-23T19:25:17.063000+00:00
12.0.2	2021-03-24T01:24:36.303000+00:00
13.0.0-beta.8	2021-03-25T17:03:32.127000+00:00
